"Neighbourhood","Neighbourhood Id","Combined Indicators","Pop 15 - 19 years","Pop 20 - 24 years","Pop 25 - 29 years","Youth 15-24","After-Tax Household Income","Vehicle Thefts","Thefts","Robberies","   South Asian","Total Population"
"West Humber-Clairville",1.0,"N/A",2325.0,3120.0,2785.0,5445.0,59703.0,316.0,38.0,82.0,13920.0,33312.0
"Mount Olive-Silverstone-Jamestown",2.0,"N/A",2585.0,2655.0,2400.0,5240.0,46986.0,42.0,3.0,81.0,11095.0,32954.0
"Thistletown-Beaumond Heights",3.0,"N/A",650.0,760.0,680.0,1410.0,57522.0,13.0,1.0,12.0,2555.0,10360.0
"Rexdale-Kipling",4.0,"N/A",635.0,720.0,715.0,1355.0,51194.0,22.0,0.0,15.0,1420.0,10529.0
"Elms-Old Rexdale",5.0,"N/A",690.0,750.0,600.0,1440.0,49425.0,16.0,0.0,14.0,840.0,9456.0
"Kingsview Village-The Westway",6.0,"N/A",1500.0,1520.0,1415.0,3020.0,50714.0,42.0,5.0,22.0,3630.0,22000.0
"Willowridge-Martingrove-Richview",7.0,"N/A",1275.0,1350.0,1235.0,2625.0,57048.0,48.0,4.0,38.0,2340.0,22156.0
"Humber Heights-Westmount",8.0,"N/A",525.0,615.0,520.0,1140.0,54919.0,17.0,4.0,8.0,325.0,10948.0
"Edenbridge-Humber Valley",9.0,"N/A",885.0,920.0,895.0,1805.0,62463.0,29.0,1.0,3.0,390.0,15535.0
"Princess-Rosethorn",10.0,"N/A",780.0,800.0,440.0,1580.0,93391.0,24.0,3.0,20.0,590.0,11051.0
"Eringate-Centennial-West Deane",11.0,"N/A",1170.0,1235.0,965.0,2405.0,69740.0,29.0,5.0,15.0,1275.0,18588.0
"Markland Wood",12.0,"N/A",585.0,580.0,480.0,1165.0,64297.0,13.0,2.0,8.0,230.0,10554.0
"Etobicoke West Mall",13.0,"N/A",675.0,785.0,985.0,1460.0,50570.0,15.0,0.0,3.0,1165.0,11848.0
"Islington-City Centre West",14.0,"N/A",1920.0,2775.0,3985.0,4695.0,57658.0,134.0,37.0,33.0,3525.0,43965.0
"Kingsway South",15.0,"N/A",595.0,505.0,320.0,1100.0,106386.0,9.0,1.0,8.0,205.0,9271.0
"Stonegate-Queensway",16.0,"N/A",1230.0,1265.0,1310.0,2495.0,67549.0,12.0,5.0,12.0,925.0,25051.0
"Mimico",17.0,"N/A",1025.0,1985.0,3520.0,3010.0,55300.0,33.0,14.0,8.0,1865.0,33964.0
"New Toronto",18.0,"N/A",545.0,845.0,910.0,1390.0,40859.0,11.0,6.0,15.0,590.0,11463.0
"Long Branch",19.0,"N/A",430.0,700.0,820.0,1130.0,47680.0,14.0,0.0,6.0,330.0,10084.0
"Alderwood",20.0,"N/A",570.0,665.0,715.0,1235.0,61402.0,18.0,8.0,8.0,540.0,12054.0
"Humber Summit",21.0,"N/A",815.0,905.0,835.0,1720.0,53272.0,61.0,18.0,19.0,3590.0,12416.0
"Humbermede",22.0,"N/A",1045.0,1180.0,1115.0,2225.0,48655.0,44.0,1.0,22.0,3275.0,15545.0
"Pelmo Park-Humberlea",23.0,"N/A",675.0,695.0,685.0,1370.0,59842.0,24.0,4.0,10.0,750.0,10722.0
"Black Creek",24.0,"N/A",1585.0,1705.0,1575.0,3290.0,39986.0,53.0,5.0,28.0,2110.0,21737.0
